Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Não enquadrada pelo Agente Financeiro;585.24.2109/2017;Qualificação Viária;PE;Cedro;Caixa Econômica Federal;Prefeitura Municipal de Cedro;Qualificação Viária do Prefeitura Municipal de Cedro;R$ 154.500,00;R$ 2.935.500,00;R$ 3.090.000,00
Não enquadrada pelo Agente Financeiro;515.2.1409/2017;Qualificação Viária;RS;Nova Hartz;Caixa Econômica Federal;Prefeitura Municipal de Nova Hartz;Qualificação Viária do Prefeitura Municipal de Nova Hartz;R$ 750.628,26;R$ 14.241.936,94;R$ 14.992.565,20
Em análise de enquadramento;495.2.1209/2017;Qualificação Viária;MG;Alfenas;Caixa Econômica Federal;Prefeitura Municipal de Alfenas;Qualificação Viária do Prefeitura Municipal de Alfenas;R$ 652.231,75;R$ 12.392.403,16;R$ 13.044.634,91
Não enquadrada pelo Agente Financeiro;43.2.0308/2017;Qualificação Viária;PR;Assis Chateaubriand;Fomento Paraná;Prefeitura Municipal de Assis Chateaubriand;Qualificação Viária do Prefeitura Municipal de Assis Chateaubriand;R$ 196.000,00;R$ 3.724.000,00;R$ 3.920.000,00
Em análise de enquadramento;496.3.1209/2017;Transporte Não Motorizado;MG;Alfenas;Caixa Econômica Federal;Prefeitura Municipal de Alfenas;Transporte Não Motorizado do Prefeitura Municipal de Alfenas;R$ 242.804,01;R$ 4.613.276,00;R$ 4.856.080,01
Não enquadrada pelo Agente Financeiro;10.2.3107/2017;Qualificação Viária;SC;Garopaba;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Garopaba;Qualificação Viária do Prefeitura Municipal de Garopaba;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Não enquadrada pelo Agente Financeiro;502.34.1209/2017;Transporte Não Motorizado;SC;Sul Brasil;Caixa Econômica Federal;Prefeitura Municipal de Sul Brasil;Transporte Não Motorizado do Prefeitura Municipal de Sul Brasil;R$ 79.750,00;R$ 1.515.250,00;R$ 1.595.000,00
Em análise de enquadramento;491.2.1109/2017;Qualificação Viária;SP;Penápolis;Agência de Desenvolvimento Paulista – Desenvolve SP;Prefeitura Municipal de Penápolis;Qualificação Viária do Prefeitura Municipal de Penápolis;R$ 311.544,74;R$ 5.919.349,99;R$ 6.230.894,73
Em análise de enquadramento;500.2.1209/2017;Qualificação Viária;MG;Bueno Brandão;Caixa Econômica Federal;Prefeitura Municipal de Bueno Brandão;Qualificação Viária do Prefeitura Municipal de Bueno Brandão;R$ 38.366,50;R$ 728.963,40;R$ 767.329,90
Pré-selecionada pelo Gestor da Aplicação;766.2.0610/2017;Qualificação Viária;PR;Fazenda Rio Grande;Caixa Econômica Federal;Prefeitura Municipal de Fazenda Rio Grande;Qualificação Viária do Prefeitura Municipal de Fazenda Rio Grande;R$ 527.500,00;R$ 10.022.500,00;R$ 10.550.000,00
Em análise de enquadramento;501.2.1209/2017;Qualificação Viária;MG;Itapeva;Caixa Econômica Federal;Prefeitura Municipal de Itapeva;Qualificação Viária do Prefeitura Municipal de Itapeva;R$ 171.205,00;R$ 3.252.895,00;R$ 3.424.100,00
Pré-selecionada pelo Gestor da Aplicação;843.2.1610/2017;Qualificação Viária;RS;Capitão;Caixa Econômica Federal;Município de Capitão;Qualificação Viária do Município de Capitão;R$ 74.052,75;R$ 1.407.002,25;R$ 1.481.055,00
Não enquadrada pelo Agente Financeiro;452.25.0409/2017;Qualificação Viária;SP;Araras;Caixa Econômica Federal;Prefeitura Municipal de Araras;Qualificação Viária do Prefeitura Municipal de Araras;R$ 404.750,00;R$ 7.690.250,00;R$ 8.095.000,00
Pré-selecionada pelo Gestor da Aplicação;810.2.1110/2017;Qualificação Viária;SP;Suzanápolis;Caixa Econômica Federal;Prefeitura Municipal de Suzanápolis;Qualificação Viária do Prefeitura Municipal de Suzanápolis;R$ 60.000,00;R$ 1.140.000,00;R$ 1.200.000,00
Não enquadrada pelo Agente Financeiro;794.2.0910/2017;Qualificação Viária;RS;Itapuca;Caixa Econômica Federal;Prefeitura Municipal de Itapuca;Qualificação Viária do Prefeitura Municipal de Itapuca;R$ 60.003,11;R$ 1.140.058,89;R$ 1.200.062,00
Não enquadrada pelo Agente Financeiro;670.2.2809/2017;Qualificação Viária;SC;Xanxerê;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Xanxerê;Qualificação Viária do Prefeitura Municipal de Xanxerê;R$ 313.300,00;R$ 5.952.700,00;R$ 6.266.000,00
Não enquadrada pelo Agente Financeiro;623.2.2409/2017;Qualificação Viária;PE;Floresta;Caixa Econômica Federal;Prefeitura Municipal de Floresta;Qualificação Viária do Prefeitura Municipal de Floresta;R$ 247.500,00;R$ 4.702.500,00;R$ 4.950.000,00
Selecionada pelo gestor da aplicação;858.2.1810/2017;Qualificação Viária;RS;Capão do Cipó;Caixa Econômica Federal;Prefeitura Municipal de Capão do Cipó;Qualificação Viária do Prefeitura Municipal de Capão do Cipó;R$ 51.248,57;R$ 973.722,67;R$ 1.024.971,24
Pré-selecionada pelo Gestor da Aplicação;190.2.2208/2017;Qualificação Viária;SC;Garuva;Caixa Econômica Federal;Prefeitura Municipal de Garuva;Qualificação Viária do Prefeitura Municipal de Garuva;R$ 905.900,00;R$ 5.000.000,00;R$ 5.905.900,00
Devolvida ao Proponente;485.2.1109/2017;Qualificação Viária;SC;Penha;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Penha;Qualificação Viária do Prefeitura Municipal de Penha;R$ 58.657,31;R$ 1.114.488,75;R$ 1.173.146,06
Não enquadrada pelo Agente Financeiro;319.2.2508/2017;Qualificação Viária;RS;Rolante;Banco do Brasil;Prefeitura Municipal de Rolante;Qualificação Viária do Prefeitura Municipal de Rolante;R$ 705.473,86;R$ 13.404.003,14;R$ 14.109.477,00
Não enquadrada pelo Agente Financeiro;886.2.2410/2017;Qualificação Viária;SP;Viradouro;Caixa Econômica Federal;Prefeitura Municipal de Viradouro;Qualificação Viária do Prefeitura Municipal de Viradouro;R$ 102.500,00;R$ 1.947.500,00;R$ 2.050.000,00
Em análise de enquadramento;656.2.2709/2017;Qualificação Viária;SP;Santa Bárbara d'Oeste;Caixa Econômica Federal;Prefeitura Municipal de Santa Bárbara d'Oeste;Qualificação Viária do Prefeitura Municipal de Santa Bárbara d'Oeste;R$ 281.500,00;R$ 5.348.500,00;R$ 5.630.000,00
Pré-selecionada pelo Gestor da Aplicação;713.2.0210/2017;Qualificação Viária;SC;Botuverá;Caixa Econômica Federal;Prefeitura Municipal de Botuverá;Qualificação Viária do Prefeitura Municipal de Botuverá;R$ 67.385,55;R$ 1.280.325,42;R$ 1.347.710,97
Não enquadrada pelo Agente Financeiro;514.2.1409/2017;Qualificação Viária;PE;Capoeiras;Caixa Econômica Federal;Prefeitura Municipal de Capoeiras;Qualificação Viária do Prefeitura Municipal de Capoeiras;R$ 247.500,00;R$ 4.702.500,00;R$ 4.950.000,00
Não enquadrada pelo Agente Financeiro;498.2.1209/2017;Qualificação Viária;PR;Santa Isabel do Ivaí;Fomento Paraná;Prefeitura Municipal de Santa Isabel do Ivaí;Qualificação Viária do Prefeitura Municipal de Santa Isabel do Ivaí;R$ 249.500,00;R$ 4.740.500,00;R$ 4.990.000,00
Enquadrada pelo Agente Financeiro;17.2.0108/2017;Qualificação Viária;SC;Concórdia;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Concórdia;Qualificação Viária do Prefeitura Municipal de Concórdia;R$ 85.866,51;R$ 1.631.463,59;R$ 1.717.330,10
Em análise de enquadramento;507.2.1309/2017;Qualificação Viária;MG;Catuti;Caixa Econômica Federal;Prefeitura Municipal de Catuti;Qualificação Viária do Prefeitura Municipal de Catuti;R$ 26.500,00;R$ 503.500,00;R$ 530.000,00
Pré-selecionada pelo Gestor da Aplicação;624.2.2509/2017;Qualificação Viária;RS;Cruzeiro do Sul;Caixa Econômica Federal;Prefeitura Municipal de Cruzeiro do Sul;Qualificação Viária do Prefeitura Municipal de Cruzeiro do Sul;R$ 189.812,88;R$ 3.606.444,62;R$ 3.796.257,50
Não enquadrada pelo Agente Financeiro;705.24.2909/2017;Qualificação Viária;RJ;Três Rios;Caixa Econômica Federal;Prefeitura Municipal de Três Rios;Qualificação Viária do Prefeitura Municipal de Três Rios;R$ 249.000,00;R$ 4.730.380,00;R$ 4.979.380,00
Em análise de enquadramento;609.2.2209/2017;Qualificação Viária;SP;Santana de Parnaíba;Caixa Econômica Federal;Prefeitura Municipal de Santana de Parnaíba;Qualificação Viária do Prefeitura Municipal de Santana de Parnaíba;R$ 806.938,06;R$ 15.331.823,13;R$ 16.138.761,19
Não enquadrada pelo Agente Financeiro;619.2.2209/2017;Qualificação Viária;RS;Capão da Canoa;Caixa Econômica Federal;Prefeitura Municipal de Capão da Canoa;Qualificação Viária do Prefeitura Municipal de Capão da Canoa;R$ 436.518,45;R$ 8.293.850,49;R$ 8.730.368,94
Em análise de enquadramento;588.2.2109/2017;Qualificação Viária;SC;Luiz Alves;Caixa Econômica Federal;Prefeitura Municipal de Luiz Alves;Qualificação Viária do Prefeitura Municipal de Luiz Alves;R$ 153.117,75;R$ 2.909.237,07;R$ 3.062.354,82
Não enquadrada pelo Agente Financeiro;511.24.1309/2017;Qualificação Viária;SP;Cajamar;Caixa Econômica Federal;Prefeitura Municipal de Cajamar;Qualificação Viária do Prefeitura Municipal de Cajamar;R$ 95.575,00;R$ 1.815.925,00;R$ 1.911.500,00
Em análise de enquadramento;506.2.1309/2017;Qualificação Viária;PE;Itapissuma;Caixa Econômica Federal;Prefeitura Municipal de Vertentes;Qualificação Viária do Prefeitura Municipal de Vertentes;R$ 221.788,07;R$ 4.213.973,23;R$ 4.435.761,30
Não enquadrada pelo Agente Financeiro;65.2.0808/2017;Qualificação Viária;MS;Bonito;Caixa Econômica Federal;Prefeitura Municipal de Bonito;Qualificação Viária do Prefeitura Municipal de Bonito;R$ 298.662,00;R$ 5.674.578,00;R$ 5.973.240,00
Não enquadrada pelo Agente Financeiro;66.2.0808/2017;Qualificação Viária;MS;Bonito;Caixa Econômica Federal;Prefeitura Municipal de Bonito;Qualificação Viária do Prefeitura Municipal de Bonito;R$ 219.056,00;R$ 4.162.064,00;R$ 4.381.120,00
Pré-selecionada pelo Gestor da Aplicação;465.2.0609/2017;Qualificação Viária;SC;Balneário Barra do Sul;Caixa Econômica Federal;Prefeitura Municipal de Balneário Barra do Sul;Qualificação Viária do Prefeitura Municipal de Balneário Barra do Sul;R$ 196.535,81;R$ 3.734.180,27;R$ 3.930.716,08
Pré-selecionada pelo Gestor da Aplicação;646.2.2609/2017;Qualificação Viária;MG;Campina Verde;Caixa Econômica Federal;Prefeitura Municipal de Campina Verde;Qualificação Viária do Prefeitura Municipal de Campina Verde;R$ 677.222,00;R$ 12.867.218,00;R$ 13.544.440,00
Pré-selecionada pelo Gestor da Aplicação;284.3.2508/2017;Transporte Não Motorizado;SC;Monte Carlo;Caixa Econômica Federal;Prefeitura Municipal de Monte Carlo;Transporte Não Motorizado do Prefeitura Municipal de Monte Carlo;R$ 65.969,62;R$ 1.253.422,77;R$ 1.319.392,39
Não enquadrada pelo Agente Financeiro;854.2.1810/2017;Qualificação Viária;RS;Rolante;Caixa Econômica Federal;Prefeitura Municipal de Rolante;Qualificação Viária do Prefeitura Municipal de Rolante;R$ 705.473,86;R$ 13.404.003,14;R$ 14.109.477,00
Em análise de enquadramento;598.2.2109/2017;Qualificação Viária;SC;Urussanga;Agência de Fomento de Santa Catarina - Badesc;Prefeitura Municipal de Urussanga;Qualificação Viária do Prefeitura Municipal de Urussanga;R$ 767.500,00;R$ 14.582.500,00;R$ 15.350.000,00
Não enquadrada pelo Agente Financeiro;510.2.1309/2017;Qualificação Viária;MG;Ewbank da Câmara;Banco do Brasil;Prefeitura Municipal de Ewbank da Câmara;Qualificação Viária do Prefeitura Municipal de Ewbank da Câmara;R$ 225.000,00;R$ 4.275.000,00;R$ 4.500.000,00
Em análise de enquadramento;841.2.1610/2017;Qualificação Viária;MG;Novorizonte;Banco de Desenvolvimento de Minas Gerais – BDMG;Prefeitura Municipal de Novorizonte;Qualificação Viária do Prefeitura Municipal de Novorizonte;R$ 54.576,00;R$ 1.036.944,00;R$ 1.091.520,00
Devolvida ao Proponente;1057.3.1411/2017;Transporte Não Motorizado;SE;Itaporanga d'Ajuda;Caixa Econômica Federal;Prefeitura Municipal de Itaporanga d'Ajuda;Transporte Não Motorizado do Prefeitura Municipal de Itaporanga d'Ajuda;R$ 307.700,00;R$ 5.846.300,00;R$ 6.154.000,00
Devolvida ao Proponente;3283.2.0305/2018;Qualificação Viária;SP;Mongaguá;Agência de Desenvolvimento Paulista – Desenvolve SP;Prefeitura Municipal de Mongaguá;Qualificação Viária do Prefeitura Municipal de Mongaguá;R$ 799.461,55;R$ 15.000.000,00;R$ 15.799.461,55
Não enquadrada pelo Agente Financeiro;628.2.2509/2017;Qualificação Viária;PR;Pitanga;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Pitanga;Qualificação Viária do Prefeitura Municipal de Pitanga;R$ 98.018,96;R$ 1.862.360,07;R$ 1.960.379,03
Não enquadrada pelo Agente Financeiro;519.2.1509/2017;Qualificação Viária;RS;Gramado dos Loureiros;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Gramado dos Loureiros;Qualificação Viária do Prefeitura Municipal de Gramado dos Loureiros;R$ 133.850,00;R$ 2.543.150,00;R$ 2.677.000,00
Selecionada pelo gestor da aplicação;535.2.1509/2017;Qualificação Viária;SC;Schroeder;Caixa Econômica Federal;Prefeitura Municipal de Schroeder;Qualificação Viária do Prefeitura Municipal de Schroeder;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Não enquadrada pelo Agente Financeiro;516.24.1409/2017;Qualificação Viária;PI;Curimatá;Caixa Econômica Federal;Prefeitura Municipal de Curimatá;Qualificação Viária do Prefeitura Municipal de Curimatá;R$ 150.970,96;R$ 2.868.448,09;R$ 3.019.419,05
Pré-selecionada pelo Gestor da Aplicação;286.2.2508/2017;Qualificação Viária;SC;Monte Carlo;Caixa Econômica Federal;Prefeitura Municipal de Monte Carlo;Qualificação Viária do Prefeitura Municipal de Monte Carlo;R$ 108.741,31;R$ 2.066.084,71;R$ 2.174.826,02
Selecionada pelo gestor da aplicação;250.2.2408/2017;Qualificação Viária;SC;Passo de Torres;Caixa Econômica Federal;Prefeitura Municipal de Passo de Torres;Qualificação Viária do Prefeitura Municipal de Passo de Torres;R$ 262.500,00;R$ 4.987.500,00;R$ 5.250.000,00
Em análise de enquadramento;527.2.1509/2017;Qualificação Viária;SP;Penápolis;Agência de Desenvolvimento Paulista – Desenvolve SP;Prefeitura Municipal de Penápolis;Qualificação Viária do Prefeitura Municipal de Penápolis;R$ 263.466,00;R$ 5.005.854,00;R$ 5.269.320,00
Não enquadrada pelo Agente Financeiro;867.2.2010/2017;Qualificação Viária;PR;Quarto Centenário;Caixa Econômica Federal;Prefeitura Municipal de Quarto Centenário;Qualificação Viária do Prefeitura Municipal de Quarto Centenário;R$ 78.998,30;R$ 710.984,74;R$ 789.983,04
Não enquadrada pelo Agente Financeiro;1071.2.1411/2017;Qualificação Viária;SP;Rio Claro;Caixa Econômica Federal;Prefeitura Municipal de Rio Claro;Qualificação Viária do Prefeitura Municipal de Rio Claro;R$ 126.613,72;R$ 2.405.660,51;R$ 2.532.274,23
Não enquadrada pelo Agente Financeiro;505.3.1209/2017;Transporte Não Motorizado;PR;Cafelândia;Fomento Paraná;Prefeitura Municipal de Cafelândia;Transporte Não Motorizado do Prefeitura Municipal de Cafelândia;R$ 185.000,00;R$ 3.515.000,00;R$ 3.700.000,00
Em análise pelo administrador do Agente Financeiro;561.2.1909/2017;Qualificação Viária;RS;São José do Norte;Caixa Econômica Federal;Prefeitura Municipal de São José do Norte;Qualificação Viária do Prefeitura Municipal de São José do Norte;R$ 75.420,57;R$ 1.432.990,69;R$ 1.508.411,26
Pré-selecionada pelo Gestor da Aplicação;77.3.0808/2017;Transporte Não Motorizado;SC;Itapema;Caixa Econômica Federal;Prefeitura Municipal de Itapema;Transporte Não Motorizado do Prefeitura Municipal de Itapema;R$ 210.478,41;R$ 3.999.089,69;R$ 4.209.568,10
Não enquadrada pelo Agente Financeiro;159.24.1808/2017;Qualificação Viária;RS;Fontoura Xavier;Caixa Econômica Federal;Prefeitura Municipal de Fontoura Xavier;Qualificação Viária do Prefeitura Municipal de Fontoura Xavier;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Em análise de enquadramento;528.2.1509/2017;Qualificação Viária;PR;Lunardelli;Caixa Econômica Federal;Prefeitura Municipal de Lunardelli;Qualificação Viária do Prefeitura Municipal de Lunardelli;R$ 40.030,00;R$ 759.970,00;R$ 800.000,00
Não enquadrada pelo Agente Financeiro;617.24.2209/2017;Qualificação Viária;PR;Campo do Tenente;Caixa Econômica Federal;Prefeitura Municipal de Campo do Tenente;Qualificação Viária do Prefeitura Municipal de Campo do Tenente;R$ 258.050,00;R$ 4.902.950,00;R$ 5.161.000,00
Não enquadrada pelo Agente Financeiro;518.2.1409/2017;Qualificação Viária;RS;Guaíba;Caixa Econômica Federal;Prefeitura Municipal de Guaíba;Qualificação Viária do Prefeitura Municipal de Guaíba;R$ 999.916,64;R$ 18.998.416,15;R$ 19.998.332,79
Em análise de enquadramento;847.24.1710/2017;Qualificação Viária;PR;Rolândia;Caixa Econômica Federal;Prefeitura Municipal de Rolândia;Qualificação Viária do Prefeitura Municipal de Rolândia;R$ 314.219,00;R$ 5.970.161,00;R$ 6.284.380,00
Selecionada pelo gestor da aplicação;512.2.1409/2017;Qualificação Viária;SC;Lebon Régis;Caixa Econômica Federal;Prefeitura Municipal de Lebon Régis;Qualificação Viária do Prefeitura Municipal de Lebon Régis;R$ 249.612,00;R$ 4.742.628,00;R$ 4.992.240,00
Não enquadrada pelo Agente Financeiro;587.2.2109/2017;Qualificação Viária;PE;Cabrobó;Caixa Econômica Federal;Prefeitura Municipal de Cabrobó;Qualificação Viária do Prefeitura Municipal de Cabrobó;R$ 351.127,36;R$ 6.671.419,75;R$ 7.022.547,11
Não enquadrada pelo Agente Financeiro;142.24.1708/2017;Qualificação Viária;PR;São João do Triunfo;Caixa Econômica Federal;Prefeitura Municipal de São João do Triunfo;Qualificação Viária do Prefeitura Municipal de São João do Triunfo;R$ 74.736,77;R$ 1.419.998,59;R$ 1.494.735,36
Pré-selecionada pelo Gestor da Aplicação;577.2.2009/2017;Qualificação Viária;PR;Palmital;Caixa Econômica Federal;Município de Palmital;Qualificação Viária do Município de Palmital;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;531.2.1509/2017;Qualificação Viária;SC;Monte Castelo;Caixa Econômica Federal;Prefeitura Municipal de Monte Castelo;Qualificação Viária do Prefeitura Municipal de Monte Castelo;R$ 74.346,66;R$ 1.412.586,50;R$ 1.486.933,16
Pré-selecionada pelo Gestor da Aplicação;532.2.1509/2017;Qualificação Viária;SC;Monte Castelo;Caixa Econômica Federal;Prefeitura Municipal de Monte Castelo;Qualificação Viária do Prefeitura Municipal de Monte Castelo;R$ 95.225,15;R$ 1.809.277,67;R$ 1.904.502,82
Não enquadrada pelo Agente Financeiro;550.2.1809/2017;Qualificação Viária;SC;Riqueza;Caixa Econômica Federal;Prefeitura Municipal de Riqueza;Qualificação Viária do Prefeitura Municipal de Riqueza;R$ 159.584,72;R$ 3.032.109,54;R$ 3.191.694,26
Em análise de enquadramento;601.2.2109/2017;Qualificação Viária;MG;Serro;Caixa Econômica Federal;Prefeitura Municipal de Serro;Qualificação Viária do Prefeitura Municipal de Serro;R$ 168.935,88;R$ 3.209.781,62;R$ 3.378.717,50
Não enquadrada pelo Agente Financeiro;740.2.0410/2017;Qualificação Viária;PR;Andirá;Fomento Paraná;Prefeitura Municipal de Andirá;Qualificação Viária do Prefeitura Municipal de Andirá;R$ 83.169,80;R$ 1.580.226,12;R$ 1.663.395,92
